study_id,kind,id,confidence,basis,notes
S001,position,p-media-attessia-ouertani,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S026,position,p-cassation-hedi-guediri,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S027,relationship,rel-judiciary-slim-riahi-prosecution,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S028,relationship,rel-tahar-ben-ammar-bourguiba-institutional,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S029,relationship,rel-conect-utica-political-conflict,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S030,relationship,own-state-stb-7154,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S031,relationship,rel-armed-forces-presidency-allegation,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S032,relationship,rel-faouzi-elloumi-al-badil-party,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S033,event,ugtt-khelifi-death-2026,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S034,relationship,rel-aziz-miled-ben-ali-institutional,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S035,event,wb-capture-2010,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S036,relationship,rel-cpg-ugtt-political-conflict,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S037,position,p-bct-nouri,A,documented,Simulated (rubric-only): 10 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S038,relationship,rel-ennahda-mohamed-ennaceur-political-conflict,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S039,position,p-air-el-fehri,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S040,position,p-air-aloui,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S041,relationship,rel-atika-chebil-abdelaziz-makhloufi-reported-influence,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S042,education,edu-chahed-inat,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S043,event,election-2019,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S044,position,p-finance-ben-hammouda,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S045,relationship,rel-marzouki-jebali-political-conflict,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S046,relationship,rel-csm-judiciary-institutional,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S047,relationship,rel-kamel-eltaief-presidency-reported-influence,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S048,event,ev-autoroutes-a1-a2-concessions-2026,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S049,relationship,rel-imf-presidency-diplomatic,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S050,relationship,rel-court-of-cassation-judiciary-institutional,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S051,relationship,rel-trabelsi-network-presidency-allegation,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S052,company,elloumi-group,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred
S053,relationship,board-bna-ahmed-ben-moulahem,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S054,position,p-dgsn-ghodhbani,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S055,relationship,board-tunisair-ibrahim-khouaja,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S056,position,p-dgsp-harroum,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S057,position,p-int-laarayedh,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S058,relationship,rel-mohamed-ennaceur-ugtt-reported-influence,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S059,position,p-foreign-jarandi,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S060,education,edu-saied-doctorate-claim,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S061,licence,lic-tunisie-telecom-4g-2016,A,documented,Simulated (rubric-only): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S062,event,mabrouk-chahed-sentenced,B,reported,Simulated (rubric-only): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S063,position,p-dgsn-benali-1,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S064,position,p-pm-ghannouchi,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S065,position,p-econ-faouzi-elloumi,A,documented,Simulated (rubric-only): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S066,relationship,rel-bourguiba-ennaceur-appointment-1974,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S067,relationship,rel-marzouki-armed-forces-security,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S068,relationship,rel-judiciary-abdelhamid-jelassi-prosecution,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred
S069,position,p-relaff-khalil,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S070,position,p-soe-sncft-sarra-rejeb,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S071,position,p-gv-tahar-ben-ammar,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S072,position,p-dgsn-bettaieb,B,reported,Simulated (rubric-only): 4 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S073,position,p-justice-bououni,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S074,education,edu-nouri-mast-energie-ifp-1984,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=1, hasTier1=true → B/reported
S075,relationship,rel-mohamed-ennaceur-armed-forces-security,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S076,relationship,own-etap-stb-222,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S077,position,p-party-chahed,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S078,position,p-land-hamdi,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S079,relationship,own-state-zitouna-6915,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S080,position,p-speaker-boulares,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S081,relationship,own-state-radio-zaytouna-2011,A,documented,Simulated (rubric-only): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S082,position,p-admin-raoudha-mechichi,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S083,event,ivd-established,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S084,event,2014-constitution-adopted,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → A/documented
S085,position,p-foreign-jerandi-2013,A,documented,Simulated (rubric-only): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S086,event,steg-rationing-resumes-2026,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S087,relationship,own-kallel-poulina-50,C,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → C/reported
S088,position,p-navy-el-arabi-2003,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S089,relationship,own-state-alkarama-investec,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S090,agreement,afcfta-ratification,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S091,position,p-gv-shakir-saheb-ettabaa,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S092,event,dhif-succession-2025,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S093,agreement,bit-turkey-1991,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S094,position,p-cofaf-ammar,B,reported,Simulated (rubric-only): 4 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S095,event,ev-cpg-strike-2026-09,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S096,worldClaim,agg-public-debt-external-2024,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S097,relationship,rel-kais-saied-hichem-mechichi-political-conflict,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S098,event,ltdh-suspended-2026,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S099,worldClaim,agg-tourism-gdp-2024,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred
S100,event,republic-day-demonstration-2026,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S101,event,ben-achour-commission,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S102,relationship,rel-saida-sassi-bourguiba-reported-influence,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S103,relationship,rel-rafaa-ben-achour-judiciary-appointment,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S104,position,p-tt-bendhiab,B,reported,Simulated (rubric-only): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S105,agreement,comesa-accession,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S106,position,p-def-zbidi-1,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S107,education,edu-nouri-maitrise-fseg-1987,A,documented,Simulated (rubric-only): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S108,position,p-media-zitouna-ben-salem,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S109,event,sghiri-deep-system,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S110,company,airbus,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S111,agreement,bit-germany-1963,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S112,relationship,rel-kais-saied-cnrd-institutional,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S113,relationship,board-biat-elyes-ben-rayana,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported
S114,relationship,rel-ennahda-marzouki-reported-influence,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S115,relationship,rel-utap-ugtt-institutional,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S116,event,constitution-2022,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S117,position,p-pm-hachani,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S118,position,p-justice-bousseta,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S119,event,hmaidi-convicted-2026,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S120,position,p-media-mosaique-boutar,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S121,position,p-gv-mustapha-ben-ismail,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S122,company,mabrouk-group,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S123,relationship,rel-kais-saied-chokri-riahi-appointment,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S124,company,bhci,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S125,worldClaim,agg-tourism-receipts-2024,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S126,position,p-int-ben-jeddou,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S127,position,p-foreign-chatti,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S128,relationship,own-state-investec-2011,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S129,relationship,rel-mouna-siala-la-presse-tunisie-institutional,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S130,relationship,rel-selma-elloumi-nidaa-tounes-party,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S131,event,reshuffle-may-2024,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S132,relationship,rel-kamel-akrout-presidency-security,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S133,position,p-ig-nafti,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S134,relationship,rel-youssef-bayah-biat-institutional,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S135,position,p-soe-sonede-saad-seddik,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S136,relationship,rel-atika-chebil-business-foreign-brands-reported-influence,B,reported,Simulated (rubric-only): 5 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S137,declaration,decl-fakhfakh-2020-end-of-functions,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S138,licence,lic-ooredoo-3g-2012,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S139,position,p-def-dahmani,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S140,contract,ctr-tunisie-autoroutes-a1-reconcession-2026,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S141,relationship,rel-marzouki-bentaous-appointment,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S142,event,libya-border-surveillance-cameras-2026,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S143,position,p-justice-bhiri,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S144,relationship,board-gct-hedi-youssef,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S145,position,p-gv-mohamed-larbi-zarrouk,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S146,relationship,rel-najet-jaouadi-ministry-interior-institutional,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S147,relationship,rel-beji-caid-essebsi-youssef-chahed-political-conflict,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S148,relationship,own-quinta-nessma-25-2008,B,reported,Simulated (rubric-only): 4 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S149,position,p-justice-ayari,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S150,relationship,rel-cyrine-ben-ali-ben-ali-family,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S151,relationship,rel-naoufel-saied-clan-membership,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S152,position,p-soe-sonede-ahmed-soula,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S153,relationship,rel-world-bank-trabelsi-network-institutional,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S154,event,july-25-2021,A,documented,Simulated (rubric-only): 8 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S155,position,p-party-pdp-nejib-chebbi,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S156,position,p-utap-ezzar,A,documented,Simulated (rubric-only): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S157,event,karmous-prison-death-2026,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S158,relationship,own-steg-steger,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S159,event,bensedrine-financial-brigade-2026,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S160,relationship,rel-selma-elloumi-elloumi-group-business,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S161,relationship,rel-zied-krichen-mosaique-fm-institutional,B,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → B/inferred
S162,position,p-gv-mohamed-aziz-bouattour,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S163,event,election-2024,B,reported,Simulated (rubric-only): 5 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S164,worldClaim,cc-france-largest-creditor,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S165,position,p-int-belhaj-kacem,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S166,relationship,rel-mohsen-marzouk-nidaa-tounes-party,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S167,relationship,rel-youssef-saheb-ettabaa-mohamed-larbi-zarrouk-political-conflict,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S168,event,rcd-dissolved,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported
S169,relationship,board-biat-elyes-jebir,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S170,event,haica-established,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S171,education,edu-marzouki-bac-regnault,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S172,relationship,board-biat-ismail-mabrouk,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S173,event,election-locales-2023,B,reported,Simulated (rubric-only): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S174,position,p-int-ghannouchi,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S175,relationship,rel-khaled-yahyaoui-kais-saied-reported-influence,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S176,position,p-finance-zribi,D,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → D/inferred
S177,relationship,own-stb-sonibank-25,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S178,relationship,rel-amel-ben-yedder-utica-institutional,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S179,position,p-finance-chalghoum-2,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S180,company,investec,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S181,event,2022-constitutional-referendum,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S182,position,p-pres-saied,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S183,relationship,board-tunisair-bnouni,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S184,event,inlucc-established,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S185,relationship,rel-qatar-ennahda-reported-influence,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred
S186,relationship,rel-youssef-chahed-tahya-tounes-party,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S187,declaration,decl-chahed-2018,A,documented,Simulated (rubric-only): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S188,relationship,rel-olfa-riahi-el-hiwar-ettounsi-institutional,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S189,relationship,rel-fouad-mebazaa-rcd-party,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred
S190,position,p-gv-mohamed-chenik,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S191,contract,ctr-elmed-interconnector-2022,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S192,position,p-gv-taieb-djellouli,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S193,position,p-justice-snoussi,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S194,event,ammar-retires,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S195,position,p-justice-tjeribi,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S196,event,relaff-direction-created-1967,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S197,relationship,rel-ichraf-chebil-clan-membership,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S198,relationship,rel-mohamed-ennaceur-nidaa-tounes-party,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S199,event,legislatives-2022,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S200,position,p-cabdir-elloumi,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
