study_id,kind,id,confidence,basis,notes
S001,position,p-media-attessia-ouertani,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S015,event,conspiracy-trial-2025,B,reported,Simulated (rubric+examples): 6 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S016,relationship,rel-kais-saied-khaled-nouri-appointment,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S017,relationship,rel-ben-ali-bourguiba-succession,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S018,event,tabib-convicted-2026,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S019,event,hannibal-tv-confiscated,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S020,company,steg-international-services,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S021,relationship,board-bna-nejia-gharbi,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S022,event,ivd-final-report,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S023,position,p-dgsn-dabbabi,B,reported,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S024,relationship,rel-judiciary-saadia-mosbah-prosecution,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S025,position,p-def-kallel,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S026,position,p-cassation-hedi-guediri,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S027,relationship,rel-judiciary-slim-riahi-prosecution,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S028,relationship,rel-tahar-ben-ammar-bourguiba-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S029,relationship,rel-conect-utica-political-conflict,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S030,relationship,own-state-stb-7154,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S031,relationship,rel-armed-forces-presidency-allegation,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S032,relationship,rel-faouzi-elloumi-al-badil-party,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred (few-shot regime, lower noise)
S033,event,ugtt-khelifi-death-2026,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S034,relationship,rel-aziz-miled-ben-ali-institutional,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S035,event,wb-capture-2010,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S036,relationship,rel-cpg-ugtt-political-conflict,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S037,position,p-bct-nouri,A,documented,Simulated (rubric+examples): 10 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S038,relationship,rel-ennahda-mohamed-ennaceur-political-conflict,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S039,position,p-air-el-fehri,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S040,position,p-air-aloui,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → A/documented (few-shot regime, lower noise)
S041,relationship,rel-atika-chebil-abdelaziz-makhloufi-reported-influence,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S042,education,edu-chahed-inat,D,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → D/inferred (few-shot regime, lower noise)
S043,event,election-2019,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S044,position,p-finance-ben-hammouda,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S045,relationship,rel-marzouki-jebali-political-conflict,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S046,relationship,rel-csm-judiciary-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S047,relationship,rel-kamel-eltaief-presidency-reported-influence,C,inferred,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S048,event,ev-autoroutes-a1-a2-concessions-2026,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S049,relationship,rel-imf-presidency-diplomatic,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S050,relationship,rel-court-of-cassation-judiciary-institutional,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S051,relationship,rel-trabelsi-network-presidency-allegation,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S052,company,elloumi-group,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported (few-shot regime, lower noise)
S053,relationship,board-bna-ahmed-ben-moulahem,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S054,position,p-dgsn-ghodhbani,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S055,relationship,board-tunisair-ibrahim-khouaja,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S056,position,p-dgsp-harroum,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S057,position,p-int-laarayedh,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S058,relationship,rel-mohamed-ennaceur-ugtt-reported-influence,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S059,position,p-foreign-jarandi,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S060,education,edu-saied-doctorate-claim,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S061,licence,lic-tunisie-telecom-4g-2016,A,documented,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S062,event,mabrouk-chahed-sentenced,B,reported,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S063,position,p-dgsn-benali-1,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S064,position,p-pm-ghannouchi,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S065,position,p-econ-faouzi-elloumi,B,reported,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=1, hasTier1=true → B/reported (few-shot regime, lower noise)
S066,relationship,rel-bourguiba-ennaceur-appointment-1974,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S067,relationship,rel-marzouki-armed-forces-security,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S068,relationship,rel-judiciary-abdelhamid-jelassi-prosecution,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported (few-shot regime, lower noise)
S069,position,p-relaff-khalil,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S070,position,p-soe-sncft-sarra-rejeb,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S071,position,p-gv-tahar-ben-ammar,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S072,position,p-dgsn-bettaieb,B,reported,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S073,position,p-justice-bououni,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S074,education,edu-nouri-mast-energie-ifp-1984,A,documented,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S075,relationship,rel-mohamed-ennaceur-armed-forces-security,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S076,relationship,own-etap-stb-222,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S077,position,p-party-chahed,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S078,position,p-land-hamdi,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S079,relationship,own-state-zitouna-6915,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S080,position,p-speaker-boulares,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S081,relationship,own-state-radio-zaytouna-2011,A,documented,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S082,position,p-admin-raoudha-mechichi,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred (few-shot regime, lower noise)
S083,event,ivd-established,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S084,event,2014-constitution-adopted,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S085,position,p-foreign-jerandi-2013,A,documented,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S086,event,steg-rationing-resumes-2026,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S087,relationship,own-kallel-poulina-50,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S088,position,p-navy-el-arabi-2003,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S089,relationship,own-state-alkarama-investec,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S090,agreement,afcfta-ratification,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S091,position,p-gv-shakir-saheb-ettabaa,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S092,event,dhif-succession-2025,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S093,agreement,bit-turkey-1991,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S094,position,p-cofaf-ammar,B,reported,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S095,event,ev-cpg-strike-2026-09,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred (few-shot regime, lower noise)
S096,worldClaim,agg-public-debt-external-2024,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S097,relationship,rel-kais-saied-hichem-mechichi-political-conflict,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S098,event,ltdh-suspended-2026,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S099,worldClaim,agg-tourism-gdp-2024,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred (few-shot regime, lower noise)
S100,event,republic-day-demonstration-2026,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S101,event,ben-achour-commission,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S102,relationship,rel-saida-sassi-bourguiba-reported-influence,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S103,relationship,rel-rafaa-ben-achour-judiciary-appointment,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S104,position,p-tt-bendhiab,B,reported,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S105,agreement,comesa-accession,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S106,position,p-def-zbidi-1,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S107,education,edu-nouri-maitrise-fseg-1987,A,documented,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S108,position,p-media-zitouna-ben-salem,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S109,event,sghiri-deep-system,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred (few-shot regime, lower noise)
S110,company,airbus,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S111,agreement,bit-germany-1963,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S112,relationship,rel-kais-saied-cnrd-institutional,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S113,relationship,board-biat-elyes-ben-rayana,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported (few-shot regime, lower noise)
S114,relationship,rel-ennahda-marzouki-reported-influence,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S115,relationship,rel-utap-ugtt-institutional,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S116,event,constitution-2022,A,documented,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → A/documented (few-shot regime, lower noise)
S117,position,p-pm-hachani,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S118,position,p-justice-bousseta,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S119,event,hmaidi-convicted-2026,C,inferred,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred (few-shot regime, lower noise)
S120,position,p-media-mosaique-boutar,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S121,position,p-gv-mustapha-ben-ismail,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S122,company,mabrouk-group,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S123,relationship,rel-kais-saied-chokri-riahi-appointment,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S124,company,bhci,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S125,worldClaim,agg-tourism-receipts-2024,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S126,position,p-int-ben-jeddou,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S127,position,p-foreign-chatti,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S128,relationship,own-state-investec-2011,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S129,relationship,rel-mouna-siala-la-presse-tunisie-institutional,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred (few-shot regime, lower noise)
S130,relationship,rel-selma-elloumi-nidaa-tounes-party,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S131,event,reshuffle-may-2024,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S132,relationship,rel-kamel-akrout-presidency-security,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S133,position,p-ig-nafti,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S134,relationship,rel-youssef-bayah-biat-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S135,position,p-soe-sonede-saad-seddik,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S136,relationship,rel-atika-chebil-business-foreign-brands-reported-influence,B,reported,Simulated (rubric+examples): 5 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S137,declaration,decl-fakhfakh-2020-end-of-functions,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S138,licence,lic-ooredoo-3g-2012,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S139,position,p-def-dahmani,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S140,contract,ctr-tunisie-autoroutes-a1-reconcession-2026,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred (few-shot regime, lower noise)
S141,relationship,rel-marzouki-bentaous-appointment,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S142,event,libya-border-surveillance-cameras-2026,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S143,position,p-justice-bhiri,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S144,relationship,board-gct-hedi-youssef,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S145,position,p-gv-mohamed-larbi-zarrouk,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S146,relationship,rel-najet-jaouadi-ministry-interior-institutional,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S147,relationship,rel-beji-caid-essebsi-youssef-chahed-political-conflict,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S148,relationship,own-quinta-nessma-25-2008,B,reported,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S149,position,p-justice-ayari,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S150,relationship,rel-cyrine-ben-ali-ben-ali-family,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S151,relationship,rel-naoufel-saied-clan-membership,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S152,position,p-soe-sonede-ahmed-soula,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S153,relationship,rel-world-bank-trabelsi-network-institutional,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S154,event,july-25-2021,A,documented,Simulated (rubric+examples): 8 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S155,position,p-party-pdp-nejib-chebbi,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S156,position,p-utap-ezzar,A,documented,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S157,event,karmous-prison-death-2026,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S158,relationship,own-steg-steger,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S159,event,bensedrine-financial-brigade-2026,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S160,relationship,rel-selma-elloumi-elloumi-group-business,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S161,relationship,rel-zied-krichen-mosaique-fm-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S162,position,p-gv-mohamed-aziz-bouattour,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S163,event,election-2024,B,reported,Simulated (rubric+examples): 5 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S164,worldClaim,cc-france-largest-creditor,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S165,position,p-int-belhaj-kacem,C,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S166,relationship,rel-mohsen-marzouk-nidaa-tounes-party,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
