study_id,kind,id,claim,confidence,basis,notes
S232,position,p-justice-bouaziz,"Mustapha Bouaziz held Minister of Justice (Head of Government) between 1989-09-27 and 1990-03-03",,,
S173,event,election-locales-2023,"First local-council elections under the 2022 constitution — Tunisia's first local-council elections elected 279 local councils in two rounds (24/12/2023 and 04/02/2024) under ISIE supervision; 2,129 m",,,
S077,position,p-party-chahed,"Youssef Chahed held Leader of Tahya Tounes (Tahya Tounes) between 2019-01-27 and ~2021",,,
S108,position,p-media-zitouna-ben-salem,"Oussama Ben Salem held Owner of Zitouna TV (Zitouna TV) between 2012-05-07 and 2015-02-12",,,
S172,relationship,board-biat-ismail-mabrouk,"Ismaïl Mabrouk —[board]→ BIAT — Chairman of the BIAT board of directors since 2009 (official biography, biat.com.tn). Exact appointment date to be confirmed at the JORT/AGM.",,,
S181,event,2022-constitutional-referendum,"Tunisian constitutional referendum — Voters approve a new constitution proposed by Kais Saied, replacing the 2014 constitution. The new text concentrates power in the presidency, eliminates the consti",,,
S030,relationship,own-state-stb-7154,"Tunisian State —[ownership]→ STB — The Tunisian state's direct stake in STB: 71.54% per the Wikipedia infobox, whose table is not dated; the capital figure (776.875 MTND) corresponds to the 2017-2018 ",,,
S138,licence,lic-ooredoo-3g-2012,"Licence lic-ooredoo-3g-2012 — spectrum holder ooredoo-tunisie issuer etat-tunisien grant 2012-05-24",,,
S166,relationship,rel-mohsen-marzouk-nidaa-tounes-party,"Mohsen Marzouk —[party]→ Nidaa Tounes — Left after an internal split, taking part of the party's apparatus with him.",,,
S135,position,p-soe-sonede-saad-seddik,"Saâd Seddik held Président-Directeur Général (SONEDE) between 2014 and ~2018",,,
S016,relationship,rel-kais-saied-khaled-nouri-appointment,"Kais Saied —[appointment]→ Khaled Nouri — Governor of Ariana appointed interior minister, replacing Kamel Feki.",,,
S223,relationship,rel-yadh-ben-achour-presidency-appointment,"Yadh Ben Achour —[appointment]→ Presidency of the Republic — Appointed by decree to chair the Higher Authority for the Achievement of the Revolution's Objectives (Ben Achour Commission).",,,
S126,position,p-int-ben-jeddou,"Lotfi Ben Jeddou held Minister of the Interior (Ministry of the Interior) between 2013-03-13 and 2015-02-06",,,
S141,relationship,rel-marzouki-bentaous-appointment,"Moncef Marzouki —[appointment]→ Nouri Ben Taous — Presidency communiqué of 22 August 2013: Nouri Ben Taous appointed Director-General of Military Security, succeeding contre-amiral Kamel Akrout — a mi",,,
S156,position,p-utap-ezzar,"Abdelmajid Ezzar held President of UTAP (Tunisian Union of Agriculture and Fisheries) between 2013-05 and 2022-05-18",,,
S117,position,p-pm-hachani,"Ahmed Hachani held Head of Government (Head of Government) between 2023-08-01 and 2024-08-07",,,
S228,company,steg-energies-renouvelables,"Company steg-energies-renouvelables — STEG Énergies Renouvelables (STEG-ER)",,,
S029,relationship,rel-conect-utica-political-conflict,"Confederation of Citizen Enterprises of Tunisia —[political-conflict]→ UTICA — CONECT was launched explicitly as a competitor to UTICA, whose place in the corporatist architecture of the single-party ",,,
S270,position,p-gv-rejeb-khaznadar,"Rejeb Khaznadar held Grand Vizier (Beylical Government) between 1759-02-12 and 1782-05-26",,,
S055,relationship,board-tunisair-ibrahim-khouaja,"Halima Ibrahim Khouaja —[board]→ Tunisair — Entrusted with the general management of Tunisair by the board of 7 July 2025 (Tunisair communiqué of 15 July 2025, via WMC). The ilboursa TAIR profile (202",,,
S020,company,steg-international-services,"Company steg-international-services — STEG International Services (SIS)",,,
S104,position,p-tt-bendhiab,"Lassâad Ben Dhiab held Président-Directeur Général, Tunisie Telecom (Tunisie Telecom) between 2022-04-07 and verified:2025-12",,,
S160,relationship,rel-selma-elloumi-elloumi-group-business,"Selma Elloumi Rekik —[business]→ Elloumi Group / COFICAB — Member of the industrial family behind the group.",,,
S216,position,p-presec-belhajali,"Abderrahmane Belhaj Ali held Director-General of Presidential Security (Presidential Security) between 1987 and 2001",,,
S175,relationship,rel-khaled-yahyaoui-kais-saied-reported-influence,"Khaled Salah Yahyaoui —[reported-influence]→ Kais Saied — Specialist reporting describes the presidential security chief as a figure who makes and breaks ministerial careers from the presidential pala",,,
S008,position,p-bank-stb-lotfi-debbabi,"Lotfi Debbabi held Directeur Général (STB) between 2019-03-07 and 2020-09-30",,,
S227,relationship,rel-moncef-marzouki-ltdh-institutional,"Moncef Marzouki —[institutional]→ Tunisian League for the Defence of Human Rights — President of the Tunisian League for the Defence of Human Rights before founding a party — the civil-society-to-pres",,,
S093,agreement,bit-turkey-1991,"agreement bit-turkey-1991 — Signed 29 May 1991 and in force 28 April 1994, per the UNCTAD IIA Navigator, which lists it as in force. A successor BIT signed 27 December 2017 is recorded as signed but n",,,
S285,position,p-nsa-hamdi,"Mohamed Salah Hamdi held National Security Adviser to the President (Office of the National Security Adviser) between 2019-10-30 and ?",,,
S288,position,p-soe-poste-sami-mekki,"Sami Mekki held Président-Directeur Général (La Poste Tunisienne) between 2020-08 and 2024-08",,,
S122,company,mabrouk-group,"Company mabrouk-group — Groupe Mabrouk (famille Mabrouk)",,,
S109,event,sghiri-deep-system,"An MP argues publicly that a deep system survives every regime — Dhafer Sghiri argued that changes of president and party have not eliminated entrenched influence networks. A politician's interpretati",,,
S007,relationship,rel-houcine-abassi-ugtt-institutional,"Houcine Abassi —[institutional]→ UGTT — Secretary-General of the UGTT.",,,
S040,position,p-air-aloui,"Mohamed Foued El Aloui held Chief of Staff of the Air Force (Air Force) between 2015-08-28 and 2017-08-01",,,
S065,position,p-econ-faouzi-elloumi,"Faouzi Elloumi held Principal, Elloumi Group (Elloumi Group / COFICAB) between ~1990 and ongoing",,,
S250,relationship,board-bna-habib-benhadj-kouider,"Habib Benhadj-Kouider —[board]→ BNA — PDG of BNA from 11 December 2015 (wikipedia-bna, Leaders 19/11/2015) to ~end of September 2020 per the ilboursa sequence (Lakhal interim DG from 01/10/2020).",,,
S070,position,p-soe-sncft-sarra-rejeb,"Sarra Rejeb held Président-Directeur Général (SNCFT) between 2016-12-30 and 2017-10-17",,,
S010,contract,ctr-sncft-attijari-locomotives-2017,"Contract ctr-sncft-attijari-locomotives-2017 — Attijari Bank co-financing of 20 SNCFT locomotives (sncft → no winner)",,,
S170,event,haica-established,"HAICA established as independent media regulator — The High Independent Authority for Audiovisual Communication (HAICA) is formally established under the 2014 constitution to regulate broadcast media,",,,
S262,event,isie-ordinance-544-2024,"The election authority changes the presidential candidacy rules — ISIE issues Ordinance 544, changing the rules regulating presidential candidacies: raising the minimum age of candidates from 35 to 40",,,
S114,relationship,rel-ennahda-marzouki-reported-influence,"Ennahda Movement —[reported-influence]→ Moncef Marzouki — In the inter-round of the 2014 presidential election, Essebsi's supporters claimed Marzouki was implicitly supported by Ennahda, which fielded",,,
S042,education,edu-chahed-inat,"Education edu-chahed-inat — youssef-chahed Agricultural engineering degree (ingénieur agronome) at unknown",,,
S210,relationship,rel-marzouki-jomaa-appointment,"Moncef Marzouki —[appointment]→ Mehdi Jomaa — The technocratic government of the end of the transition: arrêté républicain n° 2014-32 of 29 January 2014, signed at Carthage, naming Mehdi Jomaa head of",,,
S099,worldClaim,agg-tourism-gdp-2024,"worldClaim agg-tourism-gdp-2024",,,
S146,relationship,rel-najet-jaouadi-ministry-interior-institutional,"Najet Omrani Jaouadi —[institutional]→ Ministry of the Interior — A first-class police commissioner who ran the interior ministry's human rights directorate before being given the customs service. The",,,
S018,event,tabib-convicted-2026,"The former anti-corruption chief is sentenced to ten years — The specialised financial corruption chamber sentenced Chawki Tabib, who headed the national anti-corruption authority from 2016 to 2020, t",,,
S196,event,relaff-direction-created-1967,"Religious affairs direction created — Decree 345 of 5 October 1967 turns the small service of religious rites attached to the government since 1956 into a full direction under the Secretariat of State",,,
S017,relationship,rel-ben-ali-bourguiba-succession,"Zine El Abidine Ben Ali —[succession]→ Habib Bourguiba — Prime minister for one month before doctors declared the president medically unfit and he took the office. He had been made interior minister o",,,
S031,relationship,rel-armed-forces-presidency-allegation,"Tunisian Armed Forces —[allegation]→ Presidency of the Republic — A recurring claim holds that the Tunisian army secretly governs the country. No reliable evidence supports it, and this dataset's own ",,,
S235,position,p-soe-sncft-taoufik-boufaied,"Taoufik Boufaied held Président-Directeur Général (SNCFT) between 2022-01-10 and ongoing",,,
S105,agreement,comesa-accession,"agreement comesa-accession — Tunisia was admitted to the Common Market for Eastern and Southern Africa as its twentieth member state at the summit held in Lusaka on 18 and 19 July 2018, and subsequent",,,
S291,relationship,rel-kais-saied-rached-ghannouchi-political-conflict,"Kais Saied —[political-conflict]→ Rached Ghannouchi — Parliamentary immunity lifted and the assembly frozen; later prosecution and detention.",,,
S076,relationship,own-etap-stb-222,"ETAP —[ownership]→ STB — ETAP holds 2.22% of STB per the same (undated) Wikipedia infobox; as-of ~2018, same caveat as own-state-stb-7154. CNAM's 2.32% is not recorded because the CNAM entity does not",,,
S116,event,constitution-2022,"A new constitution is adopted by referendum — The 2014 settlement is replaced with a strongly presidential system, completing the formal re-centralisation begun a year earlier. (date: 2022-07-25)",,,
S021,relationship,board-bna-nejia-gharbi,"Nejia Gharbi —[board]→ BNA — President of the BNA board, named as such in the account of the general assembly of 29 May 2023 (WMC 30/05/2023). Appointment date unknown (JORT decree required). Relevant",,,
S052,company,elloumi-group,"Company elloumi-group — Groupe Elloumi / COFICAB",,,
S174,position,p-int-ghannouchi,"Mohamed Naceur Ghannouchi held Minister of the Interior (Ministry of the Interior) between 2011-01-27 and 2011-12-24",,,
S066,relationship,rel-bourguiba-ennaceur-appointment-1974,"Habib Bourguiba —[appointment]→ Mohamed Ennaceur — Bourguiba appointed Ennaceur minister of social affairs in January 1974 — the post that manages the state's relationship with the UGTT — after his sh",,,
S058,relationship,rel-mohamed-ennaceur-ugtt-reported-influence,"Mohamed Ennaceur —[reported-influence]→ UGTT — A documented assessment that the twice social-affairs minister kept good working contacts with the trade-union movement — the channel through which Bourg",,,
S094,position,p-cofaf-ammar,"Rachid Ammar held Chief of Staff of the Armed Forces (Tunisian Armed Forces) between 2011-04-12 and 2013-06-25",,,
S136,relationship,rel-atika-chebil-business-foreign-brands-reported-influence,"Atika Chebil —[reported-influence]→ Chebil family foreign brand agencies — The Chebil family and the president's in-laws are reportedly connected to several agencies of foreign brands operating in Tun",,,
S019,event,hannibal-tv-confiscated,"Hannibal TV confiscated by the state — The Tunisian government confiscates Hannibal TV and other assets belonging to Larbi Nasra as part of the post-revolution asset recovery process targeting Ben Ali",,,
S041,relationship,rel-atika-chebil-abdelaziz-makhloufi-reported-influence,"Atika Chebil —[reported-influence]→ Abdelaziz Makhloufi — Makhloufi's case is cited by Mondafrigue as emblematic of the ""penal settlement"" system. Jaffel advanced corruption dossiers against Chebil ",,,
S137,declaration,decl-fakhfakh-2020-end-of-functions,"Declaration decl-fakhfakh-2020-end-of-functions — asset-declaration by regime 2020-09-29",,,
S081,relationship,own-state-radio-zaytouna-2011,"Tunisian State —[ownership]→ Radio Zaytouna — Radio Zaytouna / Zitouna FM has been property of the Tunisian State since 14 January 2011, following the confiscation of Ben Ali clan assets under decree-",,,
S211,relationship,rel-hedi-bouchamaoui-utica-institutional,"Hédi Bouchamaoui —[institutional]→ UTICA — Founder of HBG Group; father of UTICA president Wided Bouchamaoui.",,,
S112,relationship,rel-kais-saied-cnrd-institutional,"Kais Saied —[institutional]→ National Council of Regions and Districts — The second chamber exists because the 2022 constitution created it, and its members arrive through local councils elected under",,,
S197,relationship,rel-ichraf-chebil-clan-membership,"Ichraf Chebil —[institutional]→ Saied / Chebil family clan network — Central figure of the ""Chebil wing"" of the presidential family network, through her position as the president's wife.",,,
S241,position,p-air-hajem,"Mohamed Hajem held Chief of Staff of the Air Force (Air Force) between 2017-08-01 and verified:2026-05-21",,,
S088,position,p-navy-el-arabi-2003,"Tarek Fawzi El Arabi held Chief of Staff of the Navy (Navy) between 2003-08-21 and <=2010",,,
S244,relationship,rel-sana-gammoudi-hannibal-tv-institutional,"Sana Gammoudi —[institutional]→ Hannibal TV — Journalist and presenter on Hannibal TV.",,,
