paper_ref,claim_text,status,code_pointer,test_pointer,notes
"Table 7 (H2), §6 (V19)",A field written in the source file reaches the reader; silent stripping is impossible.,shipped+tested,scripts/schema.ts :: strictObject,scripts/test-validators.ts :: V28: an unknown person key fails; scripts/test-validators.ts :: V28: an unknown nested dispute key fails,"V19 is the strict-schema audit; V28 is its recursive extension to nested objects. One rule, two numbers in the register."
"Table 7 (H3), §6 (V20)","Grade C/D claims name who is making them, on every claim kind.",shipped+tested,scripts/schema.ts :: withClaimEnvelope,scripts/test-validators.ts :: V20: grade C without attributed_to is rejected; scripts/test-data.ts :: every C/D evidence finding names who makes the claim (V20),The envelope refine is shared by all claim kinds; the graph sweep covers hypotheses and relations.
"Table 7 (H4), §5.4, §6 (V21)","A date that cannot exist fails the build; `2018-02-31` is rejected, not rolled over to a different day.",shipped+tested,scripts/schema.ts :: date token must be; scripts/dates.ts :: parseDateEdge,scripts/test-validators.ts :: V21: 2018-02-31 is rejected by the date parser (m15); scripts/test-data.ts :: V21: no calendar-rollover date in the dataset,Regex grammar at the schema boundary plus a calendar round-trip in the parser.
"Table 7 (H5), §5.4, §6 (V22)",Contradictory intervals fail unless disputed; envelope clamps are computed by one rule and every clamp is published.,shipped+tested,scripts/build-data.ts :: intervalTrims; scripts/build-data.ts :: safeInterval,scripts/test-data.ts :: V22: every clamped interval of the current graph appears in the published trims report; scripts/test-data.ts :: V22: no interval has an inverted core,The freshness check closes mutation m02: a stale `interval-trims.json` cannot mask a disabled publication.
"Table 7 (H6), §6 (V23)","Human review is real: a review date must be a calendar-valid day and a method must be an enum value, and the published statistic cannot count a substance-free review object.",shipped+tested,scripts/schema.ts :: ReviewSchema; scripts/review-coverage.ts :: summariseReview,scripts/test-validators.ts :: V23: 2026-02-31 is rejected — not a real day (m10); scripts/test-data.ts :: V23: every review has a calendar-valid date and an enum method,"Method enum: source-check, dedup, attribute, accept-reject, judge. The review-denominator rule is in `scripts/review-coverage.ts` and in §8.2 of the paper."
"§7 (H6 extension), §8.2","The published ""reviewed"" statistic was itself a first-match partition: an inferred claim that named its claimant was counted under `attributed`, so the published inferred bucket read 0/0 while 32 inferred claims existed. Found, published and fixed.",shipped+tested,scripts/review-coverage.ts :: reviewFlagsOf; scripts/review-coverage.ts :: summariseReview,scripts/test-validators.ts :: Phase 8: an inferred claim that names its source carries both flags; scripts/test-data.ts :: the published risk flags overlap rather than partition,The same class as the H6 row: a statistic that passed its shape check while hiding the records it claimed to count. Mutation m49 pins the regression to a first-match chain.
"Table 7 (H7), §5.5, §6 (V24)","Successions are derived, thresholds are published as data, and the published gap and overlap counts are reproducible from the emitted constants.",shipped+tested,scripts/build-data.ts :: successionMeta,scripts/test-data.ts :: V24: succession gaps reproducible from the emitted constants,Unknown-end exemptions surface as open items rather than being silently exempt.
"§5.2, §5.10, Table 4","Grade A means a primary record: every `confidence: A` claim cites a tier-1 or tier-2 source, or carries a live, dated exception.",shipped+tested,scripts/build-data.ts :: grade A must cite at least one tier-1 or tier-2 source,scripts/test-pipeline.ts :: a grade-A record without a tier-1/2 source fails and names the record (V25); scripts/test-data.ts :: every grade-A record without a tier-1/2 source is on the exception register (V25),Exceptions live in `data/source-exceptions.yaml` with owner and deadline; an expired deadline fails the build. The register currently holds the legacy grade-A escapes.
"§5.2, §5.10 (R(D)), Table 4","Every claim record cites at least one source, and legacy kinds that predate the envelope are pinned by a ratchet rather than exempt.",shipped+tested,scripts/build-data.ts :: claimKindRegistry; scripts/build-data.ts :: checkSources,scripts/test-validators.ts :: V18: a position with zero sources is rejected; scripts/test-data.ts :: every unsourced claim record is on the exception register (rule 2),"The unowned ceiling from the v0.1.1 mutation pass is now the exception register plus this graph assertion: an unsourced record fails the build unless a named, dated no-source entry holds it, and an expired entry fails. The graph-side half proves the published graph and the register agree."
"§3, §5.2 (kind versus strength)","Explicit `source_relation` and `independence` cannot contradict each other or the basis: a single-report documented claim fails, and an origin count above the cited sources fails.",shipped+tested,scripts/schema.ts :: SourceRelation; scripts/schema.ts :: claimAxes,scripts/test-validators.ts :: V26: more independent origins than cited sources is rejected; scripts/test-pipeline.ts :: an incompatible source relation fails and names the record (V26),"V26 shipped in the kind-versus-strength migration (`output/kind-migration.csv`, 40 applied rows each with a reviewer). Appendix A in the v0.1.1 source stops at V24; the successor paper extends it through V29."
"successor §8.4, §9 (archive snapshots)","A high-risk claim links to an exact passage and a locator, plus either a real timestamped capture or a dated retry promise; a generated archive lookup is not a capture.",shipped+tested,scripts/schema.ts :: EvidenceSchema; scripts/schema.ts :: isArchiveSnapshot,scripts/test-validators.ts :: V29: a position with a captured passage parses; scripts/test-validators.ts :: V29: evidence without a capture or a retry date is rejected,"8 records carry evidence today (2 positions, 3 relationships, 3 events); 4 evidence entries carry `capture_missing` retry dates. No capture-missing CSV is published yet; the matrix flags that as a gap."
successor §8.4 (origins),"Origin counts come from evidence lineage, not URLs: only the first lineage step is an origin, publisher and host are deduplicated, and a wire republished by ten outlets counts once.",shipped+tested,scripts/origins.ts :: countOrigins; scripts/build-data.ts :: withOrigins,scripts/test-validators.ts :: V29 origins: a wire republished by different outlets is one origin; scripts/test-validators.ts :: V29 origins: a shared host collapses a renamed publisher,The derived `origins` count renders beside the authored `independence`; the UI chip and its note are pinned in test-ui (`the origins chip composes the ui primitives`) and test-i18n (`origins chip pair`).
"§9 (archive snapshots), successor §8.4","A source URL is a fetchable http(s) link and a Wayback archive URL must carry a full capture timestamp, not a year-only or date-only lookup.",shipped+tested,scripts/schema.ts :: isArchiveSnapshot; scripts/schema.ts :: a source URL must be http(s),scripts/test-validators.ts :: V29 source: a year-only archive lookup is rejected; scripts/test-validators.ts :: V29 source: a non-http(s) source URL is rejected,"Schema-side only: the register does not yet require an archive URL on every source, and the paper says so in §8.3 item 5."
successor Appendix A (V30 note),Grade-B corroboration (two sources or attribution) is reserved as V30 and is not implemented.,proposed,scripts/schema.ts :: Numbering note: the pre-submission grant draft used,none,"Deliberately proposed, with the number reserved, so the rule is not rendered as enforced. If implemented it must arrive with fixtures and a pipeline probe."
§5.4 (query semantics),"Two published predicates define activity: `certainlyActive` is the confident core, `possiblyActive` the outer envelope, and certainty never outruns possibility.",shipped+tested,src/lib/model.ts :: certainlyActive; scripts/dates.ts :: resolveInterval,scripts/test-validators.ts :: temporal: generated sweep upholds the invariants; scripts/test-engine-conformance.ts :: engine: unknown end is not certain past the cutoff,"The predicates are owned by the pinned engine and imported once; the property suite asserts certain implies possible, envelope ordering, monotonicity and cutoff clamping over 1,000 generated cases."
"§5.4, Table 5",`last-verified` is not `ended`: month-only and verified tokens clamp to the observed instant and render distinctly in every locale.,shipped+tested,scripts/dates.ts :: resolveInterval; src/lib/i18n.ts :: interval.lastVerified,"scripts/test-i18n.ts :: epistemic distinctions survive translation; scripts/test-validators.ts :: possiblyActive: false outside the envelope, true at its edges",m33/m34 pin the no-assertion-past-cutoff rule in the engine time module; the four statuses render distinctly in all three locales.
"§5.8, §5.10, §8.1 (operational facts)","On a failed build nothing new is published: no dataset, no editorial queue, no staging tree is promoted.",shipped+tested,scripts/build-data.ts :: promoteDirectory,scripts/test-pipeline.ts :: a failed build promotes no dataset; scripts/test-pipeline.ts :: a failed build promotes no editorial queue,Atomic staging was Phase 3a; the probe family also covers the staging tree itself.
"§5.1, §5.10 (checkable by construction)","The same data directory produces the same graph, byte for byte under DT_CANONICAL=1, and the dataset hash recomputes from the emitted graph.",shipped+tested,scripts/canonical.ts :: canonicalBytes; scripts/build-data.ts :: computeDatasetHash,scripts/test-pipeline.ts :: canonical bytes can be regenerated with no drift; scripts/test-data.ts :: the emitted datasetHash recomputes from the emitted graph,Mutation m39 targets canonical byte equality.
"§1, §5.10 (non-guarantee)",Axiom A1: the compiler verifies that a record conforms to its declared contract; it does not determine whether the underlying judgment is correct.,shipped+tested,scripts/schema.ts :: deriveBasis; scripts/schema.ts :: withClaimEnvelope,scripts/test-data.ts :: the deriveBasis truth table is pinned — every input combination,"Axiom, not an assertion: its force is that basis is computed rather than authored and no validator inspects truth. The matrix records it so the boundary is not read as an untested feature."
§8.2 (review coverage),"Review coverage is reported as overlapping risk flags, not one bucket: a record carries every flag true of it, so an inferred claim that names its source is visible under both.",shipped+tested,scripts/review-coverage.ts :: reviewFlagsOf; scripts/review-coverage.ts :: reviewRiskOf,scripts/test-validators.ts :: Phase 8: flag totals overlap rather than partition; scripts/test-data.ts :: the published risk flags overlap rather than partition,Headline today: 46 of 1715 records carry a review note; the flags sum to more than the record count by construction. The queue ordering key is separate and remains most-damaging-first.
§8.2 (denominators),"Every claim kind that can be reviewed gets a denominator, not only the headline kinds.",shipped+tested,scripts/review-coverage.ts :: REVIEW_KINDS; scripts/review-coverage.ts :: summariseReview,"scripts/test-validators.ts :: Phase 8: every claim kind gets a denominator, including the empty ones; scripts/test-data.ts :: the published per-kind denominators match the graph","13 kinds from institution to place; the old aggregation covered four and ignored people, institutions, agreements and the newer kinds."
§8.2 (denominators),`examined` is not `independently_checked`: a review object means someone looked; independence is not inferred from a reviewer name.,shipped+tested,scripts/review-coverage.ts :: CoverageRow; scripts/review-coverage.ts :: reviewCoverageCsv,scripts/test-validators.ts :: Phase 8: examined never implies independently checked; scripts/test-data.ts :: output/review-coverage.csv recomputes from the emitted graph,"Independence and outcome columns are 0 with a note: ""not recorded"", not ""not done"". Mutation m51 pins that examined never implies independence."
"§5.8, §8.2 (queue)",The editorial queue is published and risk-ordered; the research queue and open questions surface rather than vanishing into console output.,shipped+tested,scripts/build-data.ts :: editorial-queue.json; scripts/review-coverage.ts :: reviewRiskOf,scripts/test-data.ts :: R11: the editorial queue is published and risk-ordered,The queue is stamped with the build time and counts; ordering uses the most-damaging flag while the published coverage keeps every flag.
successor §8.4 (coverage by slice),"Coverage is published by institution, era, source family, language and office, with an effective nonzero sample and a sparse flag; a thin slice cannot render as a league table.",shipped+tested,scripts/coverage.ts :: buildCoverage; scripts/coverage.ts :: SPARSE_THRESHOLD,scripts/test-data.ts :: output/coverage.csv recomputes from the emitted graph; scripts/test-data.ts :: the coverage table marks sparse slices rather than hiding them,"588 slices, 531 sparse at threshold 3. Mutations m55/m56 pin the sparse and nonzero logic."
§8.2 (translation),Translation coverage is per-tier and never summed: `human` is the only tier that means a person read the language.,shipped+tested,scripts/schema.ts :: TRANSLATION_TIERS,scripts/test-i18n.ts :: model-reviewed sits below the human-checked tiers,The `translatedHuman` stat tag is separately gated by test-paper.
§8.2 (absence is measured),"The build publishes what the map does not contain, including the family-coverage asymmetry around the incumbent president.",shipped+tested,scripts/build-data.ts :: kinNetwork; scripts/build-data.ts :: directCoverage,scripts/smoke.ts :: stats.json carries the kin keys the check depends on; scripts/test-paper.ts :: kin-kais-saied,"C1 of the corrections release fixed the V0.1 sentence that said the incumbent had no family edges; the V0.1.1 source still carried it in the §8.2 bullet, which C11 of the successor corrects. The sentence is now stat-tagged (familyEdges 26, kin-ben-ali 8, kin-kais-saied 3), and the smoke suite asserts the rendered numbers match the emitted keys."
successor §8.5 (H1 network),The personnel reading of H1 still holds: no individual is certainly in post at all three rupture dates.,shipped+tested,scripts/network-continuity.ts :: computeNetworkContinuity,scripts/test-network-continuity.ts :: personnel: no individual is certainly in post at all three rupture dates,Cohorts are resolved with the certain predicate only; possible-only holders go to a secondary watch list. H1-personnel stays `contradicted` on the current graph.
successor §8.5 (H1 network),"Paths between cohorts are graded and time-ordered: every step must pass the grade gate, the allowed-edge list and the fuzzy time predicates, and a weak or backwards chain is rejected.",shipped+tested,scripts/network-continuity.ts :: computeNetworkContinuity; scripts/network-continuity.ts :: MIN_AUTHORITY,scripts/test-network-continuity.ts :: fixture: a time-ordered chain of graded successions counts as a primary bridge; scripts/test-network-continuity.ts :: fixture: a chain whose steps run backwards in time is rejected,"Hand-worked fixtures also prove an inferred-only chain is demoted to secondary, an unsubstantiated path is excluded, and a family tie is not an allowed edge. Mutations m52/m53/m54 target these."
successor §8.5 (null controls),Every continuity count is published beside degree-preserving shuffled-cohort and random-date null controls.,shipped+tested,scripts/network-continuity.ts :: nullControls,scripts/test-network-continuity.ts :: null controls: the real count is published beside its null distribution; scripts/test-network-continuity.ts :: output/network-continuity.json matches the recompute,"200 trials per control, seed 20260911. Current result: 4 primary paths 1987→2011, 0 for 2011→2021, with 2/200 and 0/200 null trials at or above the real count."
successor §8.5 (H1 card),"The dashboard H1 card shows both readings: the personnel snapshot test and the network path test, with denominators and thresholds.",shipped+tested,src/routes/evidence/+page.svelte :: nullControls.shuffledCohorts,scripts/test-ui.ts :: the null-control comparison travels with the counts; scripts/test-ui.ts :: the continuity card resolves in,Every chart keeps a table alternative per DESIGN.
"§5.4, §5.6, §10.2 item 1","The published rankings are tested against discount, window and slack perturbations of the stated constants; the finding is sparsity, not robustness.",shipped+untested,scripts/sensitivity.ts :: discountPerturbations; scripts/sensitivity.ts :: weightPerturbations,none,"`npm run sensitivity` emits `output/sensitivity/` and `static/sensitivity.json`. No assertion recomputes the Spearman figures, so the numbers are published, not gated. Current worst influence Spearman 0.997 on a 5-person scored column; composite weight family worst 0.772 (survival excluded)."
successor §8.6 (removal and snapshots),"Edge removal, source-family removal and time snapshots are included in the sensitivity families; the ranking is a function of the instant and the sources it can lose.",shipped+untested,scripts/sensitivity.ts :: edge-removal; scripts/sensitivity.ts :: snapshot,none,`npm run sensitivity`. Worst rows today: remove prosecution moves brokerage to 0.782; remove tier-3 established journalism moves authority to 0.637; the 2010 snapshot moves survival to 0.543. No assertion pins these numbers.
successor §8.6 (rankings banner),A sparse or unstable ranking renders with a limitation banner and a link to the underlying method and data; no bare league table for thin slices.,shipped+tested,src/lib/components/Rankings.svelte :: sensitivity.json,scripts/test-ui.ts :: the rankings page fetches the published sensitivity summary; scripts/test-ui.ts :: the banner names both the sparse case and the unstable case,The banner threshold and copy resolve in all three locales; test-ui also pins the link to /sensitivity.json.
successor §8.6 (thresholds),"The banner thresholds (sparse scored count, unstable Spearman) are published with the sensitivity summary rather than living in the view.",shipped+tested,scripts/sensitivity.ts :: thresholds:,scripts/test-ui.ts :: the limitation copy resolves in,"Published thresholds today: sparseScored 10, unstableSpearman 0.9. The view consumes them; the assertion pins the UI consumption in every locale, not the constants themselves."
"§5.7, Table 6",The product computes six structural indices and refuses to emit a default composite; the reader supplies the weights.,shipped+untested,src/lib/indices.ts :: computeIndices; src/lib/indices.ts :: INDEX_KEYS,none,"The computation ships and drives the rankings and the sensitivity probe, but no assertion pins the index maths on a fixture. Flagged as a real coverage gap; a hand-worked index fixture is the next test to add."
§8.1 (first and second pass),"The historical campaign detected 3 of 12 hardening mutations in its first pass and 20 of 23 after synthetic fixtures, and the permanent closes it earned (deriveBasis truth table, interval-trims freshness, V23 calendar round-trip, rule-2 ratchet) are in the suite.",shipped+untested,scripts/mutation-test.ts :: const MUTATIONS,none,"Historical result, kept labelled as such. The permanent closes are individually tested and have their own matrix rows; the historical rates themselves are not recomputed by `npm run test`."
successor §8.1 (current report),"The current committed mutation report holds 56 counted mutants: 54 killed, 2 known latent, 0 silent drift, 0 invalid (96%).",shipped+untested,scripts/mutation-test.ts :: output/mutation-report.json,none,"`output/mutation-report.json` (generated 2026-09-14 at ba2ba8c). `npm run mutation` re-runs the campaign and rewrites the report; no suite pins the counts, so a stale report is possible and the paper must not present the number as gate-enforced. The two latent survivors are m07 (sources minimum, redundant with the envelope) and m09 (review-date format, redundant with the calendar round-trip)."
§8.1 (verdict taxonomy),"A mutation is classified as killed, silent drift, latent or invalid; invalid mutants are not kills and silent drift must become a test.",shipped+tested,scripts/mutation-test.ts :: type Verdict,scripts/test-pipeline.ts :: canonical bytes can be regenerated with no drift,The taxonomy is implemented and the harness exits non-zero on drift or invalid mutants; the campaign itself is run manually. The test pointer is the drift-detection mechanism the taxonomy depends on.
"§5.9, §9 (blast radius, identity)","Identity is key-controlled: Ed25519 keypairs in the browser, handles derived from the key, no address or device columns, and signatures are verified without the private key ever reaching the server.",shipped+tested,community/identity.ts :: handle; community/ratelimit.ts :: bucketKey,scripts/test-community.ts :: a handle is derived from the key; scripts/test-community.ts :: the bucket key does not contain the address,"The residual risk is stated in the paper and threat matrix: signatures prove key control, one person can hold many keys. No public surface claims Sybil-proof identity."
"§5.9 (budget, pause, floor)","The posting budget, ten-minute pause and four-second pace floor are specified, not wired; no hold is enforced.",proposed,community/budget.ts :: HOLD_MS,none,"Deliberately proposed. The paper says ""as specified, not yet wired"" in each place these mechanisms appear, and no public surface may claim the budget or the hold is enforced (AGENTS.md)."
"§5.8, §5.9 (community isolation, proposal path)","The community layer holds no graph data, and a proposed change reaches the dataset only through the same build gate as any edit.",shipped+tested,community/db.ts :: export interface Db; scripts/apply-proposals.ts :: const APPLY,scripts/test-community.ts :: the graph build never reads community/; scripts/test-community.ts :: the graph build never reads the community schema,"The isolation assertions read the actual build and schema files, not documentation. The proposal path is exercised by `scripts/test-community.ts` and `scripts/test-api.ts`."
"§9, §10.2 item 6 (portability)",The enforcement layer is jurisdiction-agnostic and a second deployment can retain it unchanged.,proposed,scripts/parameters.ts :: DEFAULT_PARAMETERS,none,"Marked planned, not demonstrated: there is no runnable second-jurisdiction corpus under fixtures/. The paper says the ""unchanged"" claim is untested and scopes the demonstration to the comparative-atlas item. The per-test-provenance fixture is the smallest first step."
§10.1 (inter-annotator study),"A two-round, three-rater study measures whether the grading rubric is applied consistently across independent raters.",proposed,scripts/study-sampler.ts :: stratified sampler; scripts/study-kappa.ts :: Fleiss,none,"The instruments exist and have a dry-run command, but no raters have been recruited and no kappa has been computed. Human item, listed as known-open."
"§4, Table 3, §10.2 item 2",The Table 3 novelty claim is grade C until an external literature review corroborates or refutes it.,proposed,none,none,The internal prior-art study is the current basis; the external review is named future work and not claimed as done.
"§8.3 item 2, §10.2 item 1",The six indices have not been validated against an independent external measure of influence.,proposed,src/lib/indices.ts :: computeIndices,none,"Paper states this as an absence, not a result. The sensitivity analysis is the internal companion and is emitted."
"§5.10, §10.2 item 3",A machine-checkable specification of the validator layer (Datalog fragment or SMT encoding) is future work; the mutation campaign covers the empirical half.,proposed,scripts/mutation-test.ts :: const MUTATIONS,none,Not implemented; the paper scopes it explicitly as future work and does not render it as enforced.
"§8.3 item 6, §10.2 item 5","Interpretation-level validators (path coherence, chain compatibility, confidence floors) are future work; record validity is not graph-interpretation validity.",proposed,"scripts/build-data.ts :: interpretation advisories (warn-only, L3)",none,"The warn-only tree is exercised by the pipeline suite (`the weak-chain tree builds (pathAudit is warn-only)`), so the shipped advisories are tested. Proposed status refers to the fail-level promise, which does not exist; the paper scopes it as future work."
§9 (ethics and legal posture),The legal analysis is an internal brief and requires verification against primary statutory text and external legal review before any figure is relied upon.,proposed,none,none,"Human item, listed as known-open. A legal-verification appendix is promised for submission and does not exist yet."
